title,subtitle,
STJ deixa para fevereiro decisão sobre prisão de Coutinho,"<p class=""text"">
	A ministra Maria Thereza de Assis Moura, vice-presidente do Superior Tribunal de Justiça, determinou o encaminhamento à ministra Laurita Vaz do recurso da Procuradoria-Geral da República que pede a revisão do habeas corpus que livrou da prisão o <strong>ex-governador da Paraíba Ricardo Coutinho</strong> (PSB), preso preventivamente na quinta-feira, 19, na Operação Calvário/Juízo Final, por supostas propinas de R$ 134 milhões na Saúde. Laurita Vaz é relatora do caso na Corte, e só julgará o agravo após o fim do recesso do Judiciário, em fevereiro.
</p>",
"Em 2019, STF impôs derrotas ao Planalto","<p class=""text"">
	O Supremo Tribunal Federal (STF) impôs várias derrotas e deu duros recados ao governo de Jair Bolsonaro ao longo de 2019. O plenário da Corte restringiu a extinção de conselhos pelo Executivo, manteve a demarcação de terras indígenas com a Funai e suspendeu o fim do DPVAT. Além disso, em decisões individuais, foram barradas alterações no Conselho Nacional da Criança e do Adolescente (Conanda) e suspensa uma medida provisória que dispensava a publicação de editais de licitação e leilões em jornais de grande circulação.
</p>",
Trump ainda não comprou presente de Natal para Melania,"<p class=""text"">
	O presidente dos EUA, <strong>Donald Trump</strong>, disse nesta terça-feira, 24, que ainda não comprou um <strong>presente de Natal</strong> para a primeira-dama, apenas um dia antes do feriado que poderia trazer um presente mais ameaçador da Coreia do Norte.
</p>",
"Moro chama de ""salva-ladrões"" indultos de governos passados","<p class=""text"">
	O ministro <strong>Sergio Moro</strong> (Justiça e Segurança Pública) afirmou nesta terça-feira, 24, que o decreto assinado pelo presidente <strong>Jair Bolsonaro</strong> que extingue penas a policiais condenados por crimes culposos (sem intenção de dolo) substitui ""generosos indultos salva-ladrões ou salva-corruptos"" dos governos anteriores.
</p>",
Idoso pode usar aparelho ortodôntico?,"<p class=""text"">
	 
</p>",
SP: menino que sofreu picada de escorpião morre em hospital,"<p class=""text"">
	Um menino de três anos morreu, neste domingo, 22, em decorrência da picada de um escorpião, em Franca, no interior de São Paulo. A vítima, <strong>João Gabriel Borges da Silva</strong>, havia sido ferida no peito pelo aracnídeo, quando brincava em sua casa, no Jardim Brasilândia. O menino foi levado para o Pronto-Socorro Infantil e transferido para a Santa Casa da cidade, onde ficou internado. A criança foi medicada e tratada, mas não conseguiu se recuperar.
</p>",
Bolsonaro deixa hospital após levar tombo em banheiro,"<p class=""text"">
	O presidente da República, Jair Bolsonaro, deixou na manhã desta terça-feira, 24, o Hospital das Forças Armadas (HFA) após receber alta. Segundo nota divulgada na manhã desta terça-feira pelo Palácio do Planalto, ele passou uma noite ""tranquila"" e, ao acordar, fez novos exames.
</p>",
Deslizamento de barreira deixa ao menos 7 mortos no Recife,"<p class=""text"">
	Um deslizamento de barreira na zona norte de Recife deixou pelo menos sete mortos nesta terça-feira (24). De acordo com o Corpo de Bombeiros, o acidente ocorreu por volta das 2h55, na Rua Bela Vista, no Córrego do Morcego, no bairro de Dois Unidos.
</p>",
Italiano é absolvido após ajudar DJ a cometer suicídio,"<p class=""text"">
	O Tribunal de Assistência de Milão absolveu o italiano Marco Cappato, um ativista que há anos luta pelo direito de morrer, depois de auxiliar um suicídio assistido. A decisão foi tomada após veredicto de uma corte constitucional, que determinou que ajudar uma pessoa que sofre a morrer é legal em alguns casos.
</p>",
Lula e Bolsonaro não conseguem tirar poder da inimiga Globo,"<p class=""text"">
	Tem gente que odeia uma coisa, mas não vive sem ela. É o caso dos mais importantes líderes políticos do Brasil na atualidade: Lula e Bolsonaro atiram sem parar contra o jornalismo da Globo. Ao mesmo tempo aproveitam a imensurável visibilidade do horário nobre para transmitir suas ideias a milhões de pessoas.
</p>",
'FT' elege Moro como uma das 50 personalidades da década,"<p class=""text"">
	O ministro da Justiça e Segurança Pública, Sérgio Moro, foi escolhido pelo <em>Financial Times</em> como uma das 50 personalidades que marcaram a década. A lista, composta a partir do crivo de repórteres do jornal britânico, destacou ""indivíduos que se mostraram capazes de arrancar o poder consolidado de instituições"". Ele foi o único brasileiro escolhido.
</p>",
Bolsonaro dá indulto a policiais presos por crimes culposos,"<p class=""text"">
	O presidente <strong>Jair Bolsonaro</strong> assinou nesta segunda-feira, 23, o decreto de <strong>indulto de Natal</strong>, com a inclusão inédita do perdão a penas de agentes de segurança pública presos por crimes culposos (sem intenção) cometidos durante o serviço. Compromisso assumido por Bolsonaro, a inclusão dos policiais foi antecipada pelo 'Estado' na última quinta-feira, 19. O texto será publicado no Diário Oficial da União desta terça-feira, 24.
</p>",
Terra Esotérico: como será 2020 para cada signo do zodíaco? ,"<p class=""text"">
	O que o ano de 2020 reserva para cada um dos signos do zodíaco? A astróloga <strong>Eunice Ferrari</strong> faz uma previsão completa sobre os 12 signos para o ano sucessor de 2019. 
</p>",
"Governo viola lei e esconde dados, dizem especialistas","<p class=""text"">
	O governo <strong>Jair Bolsonaro</strong> utiliza a Lei de Direitos Autoriais para colocar sob sigilo todos os relatórios de monitoramento das redes sociais do Planalto. Segundo especialistas ouvidos pelo <em>Estado</em>, a medida não encontra respaldo legal e viola as prerrogativas de transparência previstas na Lei de Acesso à Informação (LAI).
</p>",
Spotify entra na zoeira e lança playlist natalina com Simone,"<p class=""text"">
	A plataforma de streaming <strong>Spotify </strong>entrou na zoeira da internet e lançou a playlist <em>Lista VIP do Spotify de Natal</em>, com curadoria de Simone. Há décadas, a artista embala os jantares de família com o hit ""Então é Natal"", versão brasileira de ""Happy Xmas"", de John Lennon, e por isso acabou se tornando um ícone dos memes natalinos.
</p>",
"""Lula é carta fora do baralho"" para 2022, diz Bolsonaro","<p class=""text"">
	O presidente Jair Bolsonaro disse em entrevista ao programa <em>Poder em Foco</em>, do SBT, que o ex-presidente Luiz Inácio Lula da Silva é ""carta fora do baralho"" para as <strong>eleições de 2022</strong>.
</p>",
Bolsonaro diz que FAB vai interceptar avião do Flamengo,"<p class=""text"">
	O presidente<strong> Jair Bolsonaro</strong> disse há pouco que caças da Aeronáutica vão interceptar na noite deste domingo, dia 22, o avião fretado pelo <strong>Flamengo </strong>para saudar o time de futebol vice-campeão mundial, derrotado neste sábado, 21, pelo clube inglês Liverpool.
</p>",
