title,subtitle
Alberto sangra e recebe diagnóstico: 'Sinais de agravamento da doença',"Dono da Prado Monteiro ouve proposta sobre novo tratamento no capítulo de 'Bom Sucesso' desta quinta, 26/12"
Lurdes faz revelação e deixa filhos em choque,"Camila flagra a mãe pagando aluguel ao Seu Nuno e ela fica pressionada a dar explicações. Confira o que vai rolar na novela das 9, 'Amor de Mãe'!"
Alberto teme a morte e Vera promete estar ao seu lado: 'Que seja infinito enquanto dure',"No capítulo de 'Bom Sucesso' desta quinta, 26/12, dono da Prado Monteiro conversa com executiva sobre seus próximos dias"
'Juntos a Magia Acontece': internautas se emocionam com o especial de Natal,"Nas redes sociais, o público elogiou a história protagonizada por atores negros; confira a repercussão! "
Jorginho briga feio com Carminha e leva tapa na cara,"Intimada por Tufão, loira vai à casa do filho lhe pedir perdão"
Assista ao making of do especial de Natal 'Juntos a Magia Acontece',Vídeo exclusivo do Gshow mostra o clima nos sets de gravação; história da autora Cleissa Regina Martins tem direção artística de Maria de Médicis
"Clotilde se entrega a Almeida, mas ele a rejeita: 'Não quero que seja minha amante'","O clima esquenta entre os dois em 'Éramos Seis', mas a irmã de Lola recebe um verdadeiro banho de água fria "
Raquel Guarini dá dica para manter a forma no fim de ano e revela que está noiva; vídeo!,"Jurada da final do 'Dança dos Famosos 2019', a bailarina bateu um papo com Camila Lobo nos bastidores e contou ainda o que mudou na sua vida após participar do quadro"
Naiara Azevedo diz que não separa vida pessoal e profissional: 'Tudo junto e misturado',"Cantora é casada há três anos com seu empresário, Rafael Cabral. No 'Se Joga', ela conta quando percebeu que a música '50 Reais' seria um sucesso"
Elenco elege melhores cenas dos seus personagens em 'Amor de Mãe',"No podcast Novela das 9 da semana, o que os atores amaram fazer no primeiro mês da novela; ouça as entrevistas"
Elias é morto pela própria mulher,"Após perseguição policial e acidente, ex marido de Paloma tenta abandonar Rosemary e acaba baleado no capítulo de 'Bom Sucesso' desta quarta, 25/12"
Sabrina Petraglia posta foto do filho vestido de Papai Noel ,Atriz compartilhou o primeiro Natal de Gael em suas redes sociais: 'Uma delícia muito emocionante' 
Davi dá fora em Vitória: 'Nosso único assunto é a Sofia',"Advogada nutre expectativas, que são cortadas pelo ecologista. Confira o que vai acontecer no próximo capítulo da novela das 9, 'Amor de Mãe'"
